quiz_id,lock_ip,user_id,lock_type,lock_date
1,0,1,2,1653726541
1,0,37,2,1653726640
1,0,57,2,1653726849
1,0,58,2,1653727816
1,0,59,2,1653739310
1,0,60,2,1653795797
1,0,61,2,1653798109
1,0,62,2,1653798402
1,0,63,2,1653798662
1,0,77,2,1653824407
1,0,80,2,1653828011
1,0,81,2,1653833296
1,0,82,2,1653885861
1,0,84,2,1653916033
1,0,85,2,1654056300
1,0,86,2,1654062041
1,0,97,2,1656215038
1,0,98,2,1656221394
1,0,99,2,1656321444
1,0,100,2,1656407119
1,0,101,2,1656418581
1,0,103,2,1656837539
1,0,104,2,1656848518
1,0,105,2,1656913502
1,0,106,2,1657096972
1,0,107,2,1657106054
1,0,108,2,1657112281
1,0,109,2,1657118158
1,0,110,2,1657125181
1,0,112,2,1657532120
1,0,113,2,1657538269
1,0,114,2,1657541325
1,0,115,2,1657542070
1,0,116,2,1657604286
1,0,118,2,1657608743
1,0,119,2,1657607886
1,0,120,2,1657610292
1,0,121,2,1657614132
1,0,123,2,1657621464
1,0,124,2,1657624269
1,0,126,2,1657625296
1,0,128,2,1657626449
1,0,130,2,1657695840
1,0,132,2,1657710344
1,0,133,2,1657967300
1,0,134,2,1657973854
1,0,135,2,1658036147
1,0,136,2,1658038081
1,0,138,2,1658045253
1,0,139,2,1658051428
1,0,140,2,1658054955
1,0,141,2,1658061756
1,0,142,2,1658293167
1,0,144,2,1658305521
1,0,145,2,1658653896
1,0,146,2,1658658751
1,0,156,2,1658737455
1,0,157,2,1658744251
1,0,158,2,1658754790
1,0,159,2,1658756376
1,0,160,2,1658808438
1,0,161,2,1658817997
1,0,162,2,1658826483
1,0,163,2,1658831584
1,0,164,2,1658851860
1,0,166,2,1659271888
1,0,167,2,1659343359
1,0,169,2,1659413343
1,0,171,2,1659426904
1,0,172,2,1659436958
1,0,173,2,1660048037
1,0,174,2,1660104734
1,0,177,2,1660127687
1,0,178,2,1660132971
1,0,179,2,1660200252
1,0,180,2,1660369276
1,0,181,2,1660380577
1,0,182,2,1660396186
1,0,184,2,1660643992
1,0,185,2,1660654663
1,0,186,2,1660709787
1,0,187,2,1660717011
1,0,188,2,1660724333
1,0,189,2,1661336818
1,0,190,2,1661575896
1,0,191,2,1661584282
1,0,192,2,1661590912
1,0,194,2,1661660809
1,0,195,2,1661677730
1,0,197,2,1661755326
1,0,198,2,1661833407
1,0,199,2,1661843268
1,0,200,2,1661850882
1,0,201,2,1661854600
1,0,204,2,1662898295
1,0,205,2,1662958039
1,0,207,2,1662974239
1,0,208,2,1662980941
1,0,209,2,1662985203
1,0,210,2,1663043742
1,0,212,2,1663059483
1,0,214,2,1663057098
1,0,215,2,1663066714
1,0,216,2,1663073010
1,0,217,2,1663141239
1,0,223,2,1663657781
1,0,224,2,1663676675
1,0,225,2,1664355657
1,0,226,2,1664705205
1,0,227,2,1664782675
1,0,229,2,1664866286
1,0,230,2,1665293364
1,0,231,2,1665322257
1,0,233,2,1668537565
1,0,235,2,1669540347
1,0,236,2,1669544595
1,0,238,2,1669551884
1,0,239,2,1669556701
1,0,246,2,1669630938
1,0,247,2,1669634003
1,0,248,2,1669633692
1,0,249,2,1669640454
1,0,250,2,1669642492
1,0,251,2,1669706707
1,0,253,2,1669715582
1,0,254,2,1669717564
1,0,255,2,1669745983
1,0,256,2,1669787905
1,0,257,2,1669789619
1,0,258,2,1669798195
1,0,260,2,1669804581
1,0,261,2,1669872793
1,0,263,2,1670063061
1,0,264,2,1670067164
1,0,265,2,1671345279
1,0,266,2,1671360922
1,0,270,2,1671693921
1,0,271,2,1671949006
1,0,272,2,1671952448
1,0,274,2,1671961317
1,0,275,2,1671965517
1,0,276,2,1671975801
1,0,277,2,1672040468
1,0,280,2,1672043624
1,0,281,2,1672055192
1,0,282,2,1672221071
1,0,283,2,1672491551
1,0,287,2,1672906870
1,0,288,2,1673072943
1,0,289,2,1673080096
1,0,290,2,1673258683
1,0,291,2,1673259105
1,0,292,2,1673266698
1,0,293,2,1673356822
1,0,296,2,1673513650
1,0,297,2,1673697550
1,0,300,2,1673876813
1,0,304,2,1675060959
1,0,305,2,1675061223
1,0,306,2,1675063180
1,0,307,2,1675063851
1,0,308,2,1675064407
1,0,309,2,1675065282
1,0,310,2,1675066861
1,0,311,2,1675067374
1,0,312,2,1675072708
1,0,313,2,1675073117
1,0,314,2,1675075585
1,0,322,2,1675232012
1,0,330,2,1675685035
1,0,331,2,1675750248
1,0,332,2,1675754939
1,0,333,2,1675759388
1,0,334,2,1675849632
1,0,338,2,1675927133
1,0,340,2,1676206463
1,0,343,2,1677306696
1,0,344,2,1680674718
1,0,345,2,1680701430
1,0,347,2,1680957596
1,0,348,2,1681031349
1,0,349,2,1681035048
1,0,350,2,1681197678
1,0,351,2,1681536370
1,0,353,2,1681575363
1,0,355,2,1681630181
1,0,356,2,1681632014
1,0,357,2,1681637632
1,0,358,2,1681640070
1,0,359,2,1682750221
1,0,360,2,1682768897
