# ----------------------------------------
# Report CSV Export
# Account: chekad
# Property: chekad - GA4
# ----------------------------------------
#  
# Start date: 20240101
# End date: 20240805
Nth day,Users
0175,0
0176,0
0177,0
0178,0
0179,0
0180,0
0181,0
0182,0
0183,0
0184,0
0185,0
0186,0
0187,0
0188,0
0189,0
0190,0
0191,0
0192,0
0193,0
0194,0
0195,0
0196,0
0197,0
0198,0
0199,0
0200,0
0201,0
0202,0
0203,0
0204,0
0205,0
0206,0
0207,0
0208,0
0209,0
0210,0
0211,0
0212,0
0213,0
0214,0
0215,0
0216,0
0217,0

#  
# Start date: 20240101
# End date: 20240805
Device brand,Users
Google,2869
Samsung,2711
Xiaomi,1650
Apple,1118
Mozilla,498
Huawei,335
Microsoft,290
Realme,103
Vivo,74
POCO,63
Nokia,44
Honor,43
Motorola,42
OPPO,36
OnePlus,29
Opera Software,28
LG,15
Infinix,10
Lenovo,10
Nothing,6
Tecno,6
DOOGEE,5
Daria,4
HTC,3
Lava,3
Sony,3
Amazon,2
Asus,2
GPlus,2
IPPO,2
T-Mobile,2
itel,2
BlackBerry,1
Blackview,1
Dcode,1
Fujitsu,1
G-Tab,1
Gionee,1
Hisense,1
Iris,1
Jio,1
Umidigi,1

#  
# Start date: 20240101
# End date: 20240805
Device category,Users
mobile,6455
desktop,4219
tablet,72

#  
# Start date: 20240101
# End date: 20240805
OS with version,Users
Windows 10,2457
Android 13.0.0,1238
Android 11.0.0,761
Android 12.0.0,725
Android 14.0.0,695
Windows 11,591
Windows 7,420
 ,414
Android 10.0.0,396
Android 10,366
Android 11,267
Android 9.0.0,222
Android 12,156
Linux ,147
Android 13,140
iOS 17.4.1,132
Android 8.1.0,126
Android 8.0.0,116
iOS 17.2.1,109
Macintosh Intel 10.15,91
iOS 17.5.1,89
Android 9,76
Android 14,64
iOS 17.4,62
Android 6.0.1,59
iOS 17.3.1,55
Windows 8.1,52
iOS 17.3,50
Android 7.0.0,34
iOS 17.2,34
iOS 15.8,28
iOS 17.5,26
Android 7.0,25
iOS 16.6,25
iOS 16.6.1,23
Android 7.1.1,22
iOS 15.8.2,22
iOS 17.1,22
Android 5.1.1,21
iOS 12.5.7,19
iOS 17.1.1,16
iOS 16.5.1,15
iOS 16.7,15
iOS 16.3.1,14
iOS 17.1.2,14
iOS 16.2,13
Android 6.0.0,12
iOS 17.0.3,12
iOS 16.1,11
iOS 16.3,11
iOS 16.5,11
iOS 15.5,9
iOS 16.1.1,9
iOS 16.4.1,8
Android 6.0,7
iOS 15.7,7
iOS 15.7.9,7
iOS 16.7.7,7
iOS 17.0,7
iOS 16.4,6
iOS 16.7.2,6
Android 4.4.2,5
Macintosh Intel 14.2,5
iOS 12.5.6,5
iOS 15.6.1,5
iOS 16.0,5
iOS 16.1.2,5
iOS 16.7.4,5
Android 5.0,4
Android 5.0.2,4
Linux 5.15.0,4
Windows 8,4
iOS 14.6,4
iOS 15.1,4
iOS 15.2,4
iOS 15.6,4
iOS 15.7.7,4
iOS 15.8.1,4
Linux 5.19.0,3
Linux 6.5.0,3
Macintosh Intel 14.4,3
Macintosh Intel 14.5,3
iOS 14.2,3
iOS 15.4,3
iOS 15.7.1,3
iOS 16.7.5,3
iOS 17.0.1,3
Android 4.4.4,2
Android 5.1,2
Android 7.1.2,2
Linux 5.4.0,2
Macintosh Intel 10.13,2
Macintosh Intel 11.7,2
Macintosh Intel 12.4,2
Macintosh Intel 12.6,2
Macintosh Intel 14.3,2
iOS 12.4.6,2
iOS 14.7.1,2
iOS 15.3.1,2
iOS 15.4.1,2
iOS 15.7.2,2
iOS 15.7.3,2
iOS 15.7.5,2
iOS 15.7.8,2
iOS 16.0.2,2
iOS 16.0.3,2
iOS 17.0.2,2
Android ,1
Android 4.2.2,1
Android 5.0.1,1
Android 8.1,1
Chrome OS x86_64 15604.74.0,1
Linux 4.18.0,1
Linux 6.8.0,1
Macintosh Intel 11.1,1
Macintosh Intel 11.6,1
Macintosh Intel 12.0,1
Macintosh Intel 12.1,1
Macintosh Intel 12.5,1
Macintosh Intel 12.7,1
Macintosh Intel 13.3,1
Macintosh Intel 13.4,1
Macintosh Intel 13.5,1
Macintosh Intel 13.6,1
Macintosh Intel 14.1,1
Windows XP,1
iOS 10.3.1,1
iOS 12.5,1
iOS 12.5.3,1
iOS 13.3.1,1
iOS 13.6,1
iOS 13.7,1
iOS 14.3,1
iOS 14.5,1
iOS 14.7,1
iOS 14.8.1,1
iOS 15.0,1
iOS 15.0.1,1
iOS 15.0.2,1
iOS 15.1.1,1
iOS 15.7.6,1
iOS 16.0.1,1
iOS 16.7.8,1
iOS 17.6,1
